07-Dec-19 17:24:01 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -79] is 4.371338
07-Dec-19 17:24:01 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -86] is 9.256126
07-Dec-19 17:24:01 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -82] is 9.729120
07-Dec-19 17:24:01 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -87] is 14.526066
07-Dec-19 17:24:04 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -76] is 2.923488
07-Dec-19 17:24:04 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -86] is 9.256126
07-Dec-19 17:24:05 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:24:06 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -88] is 18.094568
07-Dec-19 17:24:08 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -80] is 4.583963
07-Dec-19 17:24:08 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -77] is 3.343020
07-Dec-19 17:24:08 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -77] is 5.801114
07-Dec-19 17:24:08 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:24:11 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -81] is 5.715967
07-Dec-19 17:24:11 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -73] is 2.019241
07-Dec-19 17:24:11 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -87] is 14.526066
07-Dec-19 17:24:11 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -83] is 10.789121
07-Dec-19 17:24:13 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -81] is 5.715967
07-Dec-19 17:24:13 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -82] is 5.793893
07-Dec-19 17:24:14 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -85] is 13.268165
07-Dec-19 17:24:14 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -91] is 24.807186
07-Dec-19 17:24:16 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -84] is 8.546783
07-Dec-19 17:24:16 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -78] is 3.626701
07-Dec-19 17:24:17 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -79] is 7.134052
07-Dec-19 17:24:17 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -78] is 4.356938
07-Dec-19 17:24:20 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -74] is 2.235764
07-Dec-19 17:24:20 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -75] is 2.552217
07-Dec-19 17:24:20 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -80] is 5.693721
07-Dec-19 17:24:20 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -82] is 9.729120
07-Dec-19 17:24:24 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -77] is 3.225871
07-Dec-19 17:24:24 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -83] is 7.474205
07-Dec-19 17:24:24 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -77] is 5.801114
07-Dec-19 17:24:24 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:24:28 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -86] is 9.256126
07-Dec-19 17:24:28 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -83] is 7.474205
07-Dec-19 17:24:28 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -83] is 10.789121
07-Dec-19 17:24:28 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -82] is 7.440651
07-Dec-19 17:24:31 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -83] is 6.513812
07-Dec-19 17:24:32 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -82] is 6.536231
07-Dec-19 17:24:32 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -82] is 9.729120
07-Dec-19 17:24:32 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -84] is 9.723570
