07-Dec-19 17:26:35 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -82] is 5.793893
07-Dec-19 17:26:35 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -59] is 0.299131
07-Dec-19 17:26:35 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -83] is 10.789121
07-Dec-19 17:26:35 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -86] is 12.706926
07-Dec-19 17:26:38 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -63] is 0.511460
07-Dec-19 17:26:38 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -81] is 5.153542
07-Dec-19 17:26:39 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -85] is 13.268165
07-Dec-19 17:26:39 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -87] is 14.526066
07-Dec-19 17:26:42 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -86] is 9.256126
07-Dec-19 17:26:42 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -64] is 0.584857
07-Dec-19 17:26:42 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -83] is 10.789121
07-Dec-19 17:26:42 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -89] is 18.982908
07-Dec-19 17:26:45 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -62] is 0.447274
07-Dec-19 17:26:45 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -89] is 13.152958
07-Dec-19 17:26:45 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -86] is 14.713747
07-Dec-19 17:26:45 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -85] is 11.115605
07-Dec-19 17:26:48 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -60] is 0.342057
07-Dec-19 17:26:48 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -95] is 26.558994
07-Dec-19 17:26:48 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:26:48 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -91] is 24.676609
07-Dec-19 17:26:51 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -83] is 6.513812
07-Dec-19 17:26:51 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -62] is 0.447274
07-Dec-19 17:26:51 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:26:51 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -81] is 8.773263
07-Dec-19 17:26:54 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -89] is 13.152958
07-Dec-19 17:26:54 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -65] is 0.668786
07-Dec-19 17:26:54 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -84] is 11.964605
07-Dec-19 17:26:55 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -89] is 18.982908
07-Dec-19 17:26:58 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -61] is 0.391144
07-Dec-19 17:26:58 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -91] is 16.624662
07-Dec-19 17:26:58 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:26:58 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -84] is 11.964605
07-Dec-19 17:27:01 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -61] is 0.391144
07-Dec-19 17:27:01 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -88] is 11.699269
07-Dec-19 17:27:01 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -85] is 13.268165
07-Dec-19 17:27:01 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -83] is 8.505863
07-Dec-19 17:27:07 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -68.000000, C: 1.717102, Rx: -65] is 0.668786
07-Dec-19 17:27:07 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -67.000000, C: 1.966000, Rx: -88] is 11.699269
07-Dec-19 17:27:07 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -60.000000, C: 2.226555, Rx: -83] is 10.789121
07-Dec-19 17:27:07 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -67.000000, C: 1.720951, Rx: -91] is 24.807186
