07-Dec-19 17:16:11 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -73] is 0.629989
07-Dec-19 17:16:11 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -87] is 16.585911
07-Dec-19 17:16:11 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -88] is 17.155359
07-Dec-19 17:16:11 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -91] is 19.174341
07-Dec-19 17:16:15 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:15 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -75] is 1.000000
07-Dec-19 17:16:15 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -91] is 19.174341
07-Dec-19 17:16:15 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -90] is 23.526392
07-Dec-19 17:16:18 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -68] is 0.198457
07-Dec-19 17:16:18 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:19 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -91] is 19.174341
07-Dec-19 17:16:19 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -92] is 32.263454
07-Dec-19 17:16:22 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -67] is 0.157519
07-Dec-19 17:16:22 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:22 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -88] is 17.155359
07-Dec-19 17:16:22 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -93] is 27.141184
07-Dec-19 17:16:25 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -77] is 1.587329
