07-Dec-19 16:59:54 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -66] is 1.855813
07-Dec-19 16:59:54 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -65] is 1.665167
07-Dec-19 16:59:55 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -82] is 19.131105
07-Dec-19 16:59:55 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -64] is 2.843341
07-Dec-19 16:59:58 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -72] is 4.064515
07-Dec-19 16:59:58 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -82] is 13.422805
07-Dec-19 16:59:58 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -77] is 8.799135
07-Dec-19 16:59:58 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -72] is 7.198341
07-Dec-19 17:00:01 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -76] is 6.768094
07-Dec-19 17:00:01 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -79] is 9.262385
07-Dec-19 17:00:01 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -74] is 9.079947
07-Dec-19 17:00:01 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -70] is 2.966334
07-Dec-19 17:00:04 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -72] is 3.897401
07-Dec-19 17:00:04 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -70] is 3.149777
07-Dec-19 17:00:05 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -73] is 4.727157
07-Dec-19 17:00:05 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -73] is 8.084587
07-Dec-19 17:00:08 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -73] is 4.410440
07-Dec-19 17:00:08 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -74] is 5.244904
07-Dec-19 17:00:08 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -70] is 5.706655
07-Dec-19 17:00:09 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -73] is 4.727157
07-Dec-19 17:00:12 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -74] is 5.244904
07-Dec-19 17:00:12 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -77] is 7.232846
07-Dec-19 17:00:12 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -68] is 4.524084
07-Dec-19 17:00:12 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -77] is 8.799135
07-Dec-19 17:00:15 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -73] is 4.617141
07-Dec-19 17:00:15 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -72] is 3.897401
07-Dec-19 17:00:15 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -71] is 6.409246
07-Dec-19 17:00:15 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -75] is 6.449410
07-Dec-19 17:00:19 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -74] is 4.991013
07-Dec-19 17:00:19 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -78] is 8.733640
07-Dec-19 17:00:19 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -71] is 6.409246
07-Dec-19 17:00:19 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -77] is 8.799135
07-Dec-19 17:00:23 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -73] is 4.617141
07-Dec-19 17:00:23 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -83] is 15.189734
07-Dec-19 17:00:23 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -74] is 9.079947
07-Dec-19 17:00:23 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -78] is 10.277798
07-Dec-19 17:00:27 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -78] is 8.184950
07-Dec-19 17:00:27 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -71] is 3.578032
07-Dec-19 17:00:28 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -74] is 5.521537
07-Dec-19 17:00:28 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -70] is 5.706655
