07-Dec-19 17:12:59 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -87] is 15.995628
07-Dec-19 17:12:59 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -90] is 27.226225
07-Dec-19 17:12:59 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -86] is 12.509624
07-Dec-19 17:12:59 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -91] is 19.174341
07-Dec-19 17:13:03 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -84] is 10.103951
07-Dec-19 17:13:03 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -86] is 12.696028
07-Dec-19 17:13:03 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -91] is 27.550730
07-Dec-19 17:13:03 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -92] is 22.812588
07-Dec-19 17:13:06 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -93] is 63.973782
07-Dec-19 17:13:06 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -84] is 10.103951
07-Dec-19 17:13:06 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -91] is 27.550730
07-Dec-19 17:13:06 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -95] is 38.418201
07-Dec-19 17:13:11 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -89] is 25.390322
07-Dec-19 17:13:11 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -87] is 16.585911
07-Dec-19 17:13:11 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -89] is 20.089890
07-Dec-19 17:13:11 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -91] is 19.174341
07-Dec-19 17:13:14 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -90] is 31.989073
07-Dec-19 17:13:14 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -84] is 10.103951
07-Dec-19 17:13:15 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -86] is 12.509624
07-Dec-19 17:13:15 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -90] is 16.116337
